bookID,authors
2494,H.G. Wells/Patrick Parrinder/Steven McLean/Marina Warner
2495,H.G. Wells/Cynthia Brantley Johnson/Benjamin Beard
2499,Joseph McMoneagle
2501,H.G. Wells/Melvin Burgess
2504,H.G. Wells/John R. Hammond
2506,H.G. Wells/Ursula K. Le Guin
2508,H.G. Wells/Edward Mendelson/Patrick Parrinder
2519,Umberto Eco
2520,Henri J.M. Nouwen
2521,Timothy B. Tyson
2526,José Saramago/Giovanni Pontiero
2527,José Saramago/Giovanni Pontiero
2528,José Saramago/Margaret Jull Costa
2529,José Saramago/Peter Sís/Margaret Jull Costa
2530,José Saramago/Giovanni Pontiero
2531,José Saramago/Margaret Jull Costa
2535,José Saramago/Giovanni Pontiero
2536,José Saramago/Giovanni Pontiero
2538,José Saramago/Pilar del Río
2539,José Saramago/Pilar del Río
2541,José Saramago/Pilar del Río
2542,José Saramago/Giovanni Pontiero
2543,José Saramago/Pilar del Río
2545,Kahlil Gibran
2547,Kahlil Gibran/جبران خليل جبران/Jihad El
2549,Kahlil Gibran/جبران خليل جبران/H.M. Nahmad/Robert Hillyer
