bookID,authors
2265,Lance ArmstrongSally Jenkins
2267,John WilcocksonGraham   Watson
2279,David McCullough
2281,Truman CapoteReynolds Price
2282,Truman Capote
2283,Margaret Truman
2285,Margaret Truman
2287,Truman Capote
2289,Truman CapoteScott Brick
2296,Steven Johnson
2299,Temple GrandinMargaret M Scariano
2304,Iris Fry
2305,Edith WhartonLaszlo Kubinyi
2306,Edith WhartonRWB Lewis
2307,Edith WhartonMaureen Howard
2309,Edith WhartonCynthia Griffin Wolff
2314,Edith Wharton
2315,Zilpha Keatley SnyderAlton Raible
2319,Zilpha Keatley Snyder
2322,Douglas AdamsJohn Lloyd
2326,Douglas Adams
2327,JRR TolkienHumphrey CarpenterChristopher Tolkien
2329,JRR TolkienChristopher Tolkien
2330,Ruth S NoelJRR Tolkien
2331,JRR Tolkien
2333,JRR TolkienChristina ScullWayne G Hammond
2336,Bryce Courtenay
2338,Bryce Courtenay
2343,Bryce Courtenay
2348,EV GordonAR Taylor
2353,Sarah M  AndersonKaren Swenson
2367,David McCullough
2368,David McCullough
2370,David McCullough
2371,David McCullough
2372,David McCullough
2373,Jeffery Deaver
2375,Paul Yee
2378,Jeffery Deaver
2386,Herman MelvilleWilliam Hootkins
2388,Jan NeedlePatrick BensonHerman Melville
2389,Herman MelvilleWilliam Hootkins
2390,Herman MelvilleCarl F Hovde
2400,Michael J DaveyDuncan Wu
2404,Geraldine McCaughreanVictor G AmbrusHerman Melville
2407,Edward F Edinger
2409,Geraldine McCaughreanVictor G AmbrusHerman Melville
2411,Julian Markels
2412,Elizabeth A Schultz
2423,Steve Martini
2430,Steve Martini
2442,Terry Pratchett
2443,Mark TwainGrover Gardner
2445,Susan  Griffith
2452,TheocritusKenneth James Dover
2473,HesiodGlenn W Most
2486,Wole SoyinkaSimon Gikandi
2494,HG WellsPatrick ParrinderSteven McLeanMarina Warner
2495,HG WellsCynthia Brantley JohnsonBenjamin Beard
2499,Joseph McMoneagle
2501,HG WellsMelvin Burgess
2504,HG WellsJohn R Hammond
2506,HG WellsUrsula K Le Guin
2508,HG WellsEdward MendelsonPatrick Parrinder
2519,Umberto Eco
2520,Henri JM Nouwen
2521,Timothy B Tyson
2526,Jos SaramagoGiovanni Pontiero
2527,Jos SaramagoGiovanni Pontiero
2528,Jos SaramagoMargaret Jull Costa
2529,Jos SaramagoPeter SsMargaret Jull Costa
2530,Jos SaramagoGiovanni Pontiero
2531,Jos SaramagoMargaret Jull Costa
2535,Jos SaramagoGiovanni Pontiero
2536,Jos SaramagoGiovanni Pontiero
2538,Jos SaramagoPilar del Ro
2539,Jos SaramagoPilar del Ro
2541,Jos SaramagoPilar del Ro
2542,Jos SaramagoGiovanni Pontiero
2543,Jos SaramagoPilar del Ro
2545,Kahlil Gibran
2547,Kahlil Gibran  Jihad El
2549,Kahlil Gibran  HM NahmadRobert Hillyer
2551,Jack Kerouac
2552,Jack KerouacAnn Charters
2557,Mark StevensAnnalyn Swan
2560,Julie SylvesterDavid Sylvester
2567,Wole Soyinka
2581,David    Allen
2584,David  AllenTina BlytheGene ThompsonGrove
2586,Sun TzuMark McNeilly
2595,Al RiesJack Trout
2612,Malcolm Gladwell
2613,Seth GodinMalcolm Gladwell
2615,Clayton M ChristensenLJ Ganser
2619,Charles DickensDavid TrotterCharlotte Mitchell
2626,Charles DickensEdgar Rosenberg
2646,ErasmusMartin LutherPhilip S WatsonE Gordon Rupp
2654,Harper Lee
2655,Harper LeeSissy Spacek
2661,Harper Lee
2673,David H Chilton
2677,Jonathan Swift
2678,Jonathan SwiftJesse Gale
2680,Xavier de CXavier de CJoseph Rowe
2686,Henry JamesRD Gooder
2687,Henry JamesMyra Jehlen
2688,Henry JamesLeo Bersani
2692,Henry JamesJohn HollanderDavid Bromwich
2696,Geoffrey ChaucerNevill Coghill
2698,Geoffrey ChaucerDavid  Wright
2701,Geoffrey ChaucerJill Mann
2702,Geoffrey ChaucerVincent Foster Hopper
2705,Helen  Cooper
2706,Geoffrey ChaucerBrian Stone
2710,Geoffrey Chaucer
2711,Geoffrey ChaucerLarry Dean BensonFN Robinson
2713,Geoffrey ChaucerTheodore Morrison
2715,Mark Kurlansky
2718,Deloris JordanKadir NelsonRoslyn M Jordan
2719,Monique Truong
2722,Abdul Rahman MunifPeter Theroux
2723,Kim Stanley Robinson
2725,Walter BenjaminHannah ArendtHarry ZohnLeon Wieseltier
2727,Saul SteinbergJoel SmithCharles Simic
2731,Philip Dutre
2735,David Guterson
2743,Dave Pelzer
2745,William S PollackMary Pipher
2749,Douglas Coupland
2756,Jean AitchisonDiana M Lewis
2761,Ernest BeckerSam KeenDaniel Goleman
2767,Howard Zinn
2768,Howard ZinnKathy EmeryEllen Gordon Reeves
2770,Howard ZinnKathy EmeryEllen Gordon Reeves
